start_s,end_s,duration_s,pitch_midi,pitch_name,pitch_hz,velocity,confidence
56.7507,56.8436,0.0929,61,C#4,277.183,70,0.5478
56.5998,56.7507,0.1509,61,C#4,277.183,92,0.7254
56.5533,56.7275,0.1741,56,G#3,207.652,65,0.5093
56.3792,56.5533,0.1741,74,D5,587.330,52,0.4127
56.3792,56.5998,0.2206,61,C#4,277.183,67,0.5238
56.2166,56.3211,0.1045,70,A#4,466.164,41,0.3266
56.0309,56.3211,0.2902,56,G#3,207.652,63,0.4935
56.0309,56.1354,0.1045,44,G#2,103.826,40,0.3144
55.8683,56.2282,0.3599,60,C4,261.626,70,0.5551
55.7174,55.8683,0.1509,60,C4,261.626,89,0.6990
55.6245,55.7058,0.0813,62,D4,293.665,65,0.5124
55.5536,55.6245,0.0709,63,D#4,311.127,50,0.3952
55.5536,55.6232,0.0697,55,G3,195.998,45,0.3563
55.2169,55.5536,0.3367,55,G3,195.998,45,0.3540
55.0311,55.3910,0.3599,62,D4,293.665,62,0.4877
55.0311,55.2169,0.1858,55,G3,195.998,45,0.3520
54.8570,56.0541,1.1971,51,D#3,155.563,64,0.5011
54.7525,55.0311,0.2786,55,G3,195.998,45,0.3539
54.6712,54.7525,0.0813,55,G3,195.998,50,0.3905
54.5087,54.7757,0.2670,62,D4,293.665,63,0.4935
54.3113,54.4506,0.1393,56,G#3,207.652,47,0.3669
54.2997,55.7174,1.4177,60,C4,261.626,63,0.4937
54.1952,54.3345,0.1393,65,F4,349.228,61,0.4823
54.1952,54.3113,0.1161,55,G3,195.998,57,0.4474
54.1488,54.2997,0.1509,60,C4,261.626,94,0.7432
53.9862,54.1023,0.1161,56,G#3,207.652,52,0.4129
53.8005,54.1952,0.3947,55,G3,195.998,83,0.6502
53.6379,54.7757,1.1378,51,D#3,155.563,56,0.4441
53.1374,53.2651,0.1277,53,F3,174.614,39,0.3039
52.9749,53.0678,0.0929,58,A#3,233.082,36,0.2811
52.9749,53.3116,0.3367,55,G3,195.998,71,0.5596
52.9749,53.0910,0.1161,51,D#3,155.563,37,0.2901
52.8356,52.9749,0.1393,55,G3,195.998,103,0.8093
52.6498,52.8356,0.1858,58,A#3,233.082,47,0.3681
52.4756,52.7311,0.2554,60,C4,261.626,80,0.6322
52.3015,52.4176,0.1161,55,G3,195.998,62,0.4867
52.3015,52.5685,0.2670,51,D#3,155.563,49,0.3831
51.9996,52.3015,0.3019,55,G3,195.998,88,0.6968
51.9648,52.4756,0.5108,60,C4,261.626,80,0.6302
51.8023,51.9996,0.1974,55,G3,195.998,87,0.6823
51.6384,51.8023,0.1638,55,G3,195.998,103,0.8107
