start_s,end_s,duration_s,pitch_midi,pitch_name,pitch_hz,velocity,confidence
21.0849,21.5842,0.4992,53,F3,174.614,50,0.3939
20.9456,21.4332,0.4876,57,A3,220.000,68,0.5388
20.7831,21.0966,0.3135,62,D4,293.665,75,0.5904
20.5973,20.9456,0.3483,57,A3,220.000,70,0.5501
20.1561,20.3651,0.2090,57,A3,220.000,58,0.4528
20.0052,20.1561,0.1509,53,F3,174.614,71,0.5567
19.9588,20.3071,0.3483,47,B2,123.471,63,0.4925
19.7369,20.0052,0.2683,53,F3,174.614,64,0.5069
19.7137,19.8775,0.1638,65,F4,349.228,41,0.3215
19.6789,19.8646,0.1858,48,C3,130.813,46,0.3649
19.4931,19.7021,0.2090,60,C4,261.626,58,0.4568
19.3073,19.7369,0.4296,53,F3,174.614,75,0.5927
19.0867,19.3189,0.2322,62,D4,293.665,44,0.3469
19.0751,19.6789,0.6037,50,D3,146.832,65,0.5082
18.8429,19.0287,0.1858,57,A3,220.000,46,0.3636
18.6340,18.7849,0.1509,47,B2,123.471,61,0.4783
18.4598,18.6340,0.1741,48,C3,130.813,61,0.4821
18.3669,18.4598,0.0929,50,D3,146.832,64,0.5023
18.2857,18.3669,0.0813,50,D3,146.832,70,0.5515
18.1115,18.2160,0.1045,64,E4,329.628,43,0.3414
18.1115,18.2973,0.1858,52,E3,164.814,73,0.5721
17.9722,18.0883,0.1161,65,F4,349.228,37,0.2893
17.9722,18.1115,0.1393,53,F3,174.614,48,0.3778
17.8316,17.9374,0.1058,55,G3,195.998,39,0.3058
17.6807,17.9025,0.2219,57,A3,220.000,70,0.5474
17.5065,17.6807,0.1741,59,B3,246.942,59,0.4636
17.3672,17.5065,0.1393,60,C4,261.626,61,0.4770
17.2163,17.3788,0.1625,62,D4,293.665,61,0.4841
17.0537,17.1814,0.1277,64,E4,329.628,64,0.5074
16.8331,17.0421,0.2090,65,F4,349.228,63,0.4997
16.6009,17.0537,0.4528,57,A3,220.000,79,0.6244
16.3107,16.8563,0.5457,50,D3,146.832,76,0.5963
16.1481,16.2642,0.1161,65,F4,349.228,41,0.3257
16.1481,16.4268,0.2786,53,F3,174.614,51,0.4048
16.0088,16.6009,0.5921,57,A3,220.000,67,0.5312
15.8682,16.1481,0.2799,64,E4,329.628,88,0.6954
15.7057,16.0088,0.3031,57,A3,220.000,81,0.6343
15.6360,15.7057,0.0697,57,A3,220.000,52,0.4133
15.4386,16.3107,0.8720,50,D3,146.832,62,0.4893
15.2993,15.5896,0.2902,57,A3,220.000,68,0.5386
15.2877,15.8334,0.5457,53,F3,174.614,41,0.3261
15.1484,15.2993,0.1509,57,A3,220.000,94,0.7432
15.1484,15.4386,0.2902,50,D3,146.832,48,0.3813
14.9859,15.2993,0.3135,62,D4,293.665,65,0.5157
14.8233,15.1484,0.3251,57,A3,220.000,64,0.5067
14.6492,14.8349,0.1858,65,F4,349.228,42,0.3289
14.6492,14.9046,0.2554,53,F3,174.614,41,0.3241
14.5098,15.1484,0.6385,50,D3,146.832,57,0.4526
14.2660,14.5098,0.2438,50,D3,146.832,57,0.4505
14.1383,14.2893,0.1509,58,A#3,233.082,57,0.4499
14.0454,14.1732,0.1277,52,E3,164.814,49,0.3893
13.9526,14.0454,0.0929,53,F3,174.614,49,0.3873
13.7771,13.9526,0.1754,54,F#3,184.997,85,0.6730
13.6378,13.7771,0.1393,55,G3,195.998,58,0.4583
13.3940,13.5914,0.1974,68,G#4,415.305,41,0.3234
13.3940,13.6378,0.2438,56,G#3,207.652,89,0.7030
13.0921,13.2199,0.1277,60,C4,261.626,67,0.5276
13.0573,13.3476,0.2902,63,D#4,311.127,42,0.3346
11.9312,12.5116,0.5805,62,D4,293.665,60,0.4740
11.0475,11.9312,0.8836,62,D4,293.665,87,0.6853
10.9430,11.0475,0.1045,62,D4,293.665,95,0.7478
10.7805,11.1752,0.3947,48,C3,130.813,41,0.3215
10.5715,10.9430,0.3715,62,D4,293.665,68,0.5382
10.1419,10.3509,0.2090,68,G#4,415.305,74,0.5827
9.9910,10.5715,0.5805,62,D4,293.665,93,0.7321
9.8040,10.1419,0.3380,68,G#4,415.305,63,0.4991
9.8040,9.9330,0.1290,49,C#3,138.591,36,0.2827
8.4920,9.0145,0.5224,65,F4,349.228,53,0.4155
8.4920,9.2002,0.7082,62,D4,293.665,78,0.6158
8.4224,8.9100,0.4876,56,G#3,207.652,62,0.4890
8.2250,8.4920,0.2670,65,F4,349.228,81,0.6387
8.2250,8.4224,0.1974,56,G#3,207.652,89,0.7022
8.0973,8.2250,0.1277,56,G#3,207.652,103,0.8083
7.8754,8.0973,0.2219,56,G#3,207.652,76,0.5982
7.4923,7.8058,0.3135,53,F3,174.614,85,0.6686
7.3181,7.4575,0.1393,56,G#3,207.652,49,0.3843
7.1440,7.7709,0.6269,62,D4,293.665,68,0.5328
6.6215,6.7492,0.1277,57,A3,220.000,41,0.3242
6.5170,6.9234,0.4063,53,F3,174.614,64,0.5073
6.3197,6.4938,0.1741,62,D4,293.665,65,0.5096
6.1223,6.3313,0.2090,53,F3,174.614,56,0.4430
5.7959,6.0991,0.3031,52,E3,164.814,53,0.4168
5.5637,5.7959,0.2322,52,E3,164.814,64,0.5023
4.7743,4.9832,0.2090,53,F3,174.614,49,0.3890
4.6001,4.7743,0.1741,53,F3,174.614,59,0.4642
4.4027,4.6001,0.1974,53,F3,174.614,42,0.3275
4.0196,4.3215,0.3019,53,F3,174.614,50,0.3972
3.6468,3.9255,0.2786,53,F3,174.614,55,0.4314
3.5307,3.6468,0.1161,52,E3,164.814,46,0.3648
3.4494,3.5307,0.0813,53,F3,174.614,59,0.4683
3.3566,3.4494,0.0929,53,F3,174.614,56,0.4425
3.2869,3.6352,0.3483,60,C4,261.626,68,0.5342
3.2056,3.2869,0.0813,60,C4,261.626,56,0.4402
3.0199,3.3566,0.3367,53,F3,174.614,45,0.3537
2.4278,2.8922,0.4644,53,F3,174.614,55,0.4308
2.2536,2.7412,0.4876,62,D4,293.665,77,0.6096
2.0562,2.4278,0.3715,53,F3,174.614,53,0.4186
1.9389,2.0562,0.1174,52,E3,164.814,58,0.4593
1.6486,1.9389,0.2902,52,E3,164.814,72,0.5674
1.4512,1.6486,0.1974,53,F3,174.614,69,0.5462
1.3003,1.7879,0.4876,60,C4,261.626,81,0.6357
0.9868,1.4512,0.4644,52,E3,164.814,67,0.5284
0.1858,0.4644,0.2786,43,G2,97.999,45,0.3524
24.4544,24.9072,0.4528,46,A#2,116.541,73,0.5764
80.6943,80.7871,0.0929,60,C4,261.626,75,0.5927
56.3559,58.1452,1.7892,64,E4,329.628,55,0.4354
76.2799,77.2435,0.9636,53,F3,174.614,55,0.4350
46.4578,46.5507,0.0929,52,E3,164.814,62,0.4919
67.9272,68.2290,0.3019,65,F4,349.228,61,0.4832
24.8375,25.0697,0.2322,55,G3,195.998,59,0.4614
73.6896,73.8986,0.2090,41,F2,87.307,63,0.4940
36.3739,37.1286,0.7546,43,G2,97.999,58,0.4583
67.7647,68.6122,0.8475,53,F3,174.614,58,0.4596
59.6209,59.8647,0.2438,50,D3,146.832,61,0.4839
20.4000,20.6554,0.2554,55,G3,195.998,55,0.4349
67.7763,68.1710,0.3947,45,A2,110.000,53,0.4196
45.7032,46.2256,0.5224,55,G3,195.998,58,0.4551
41.8229,42.2060,0.3831,53,F3,174.614,53,0.4199
81.8101,81.9959,0.1858,48,C3,130.813,60,0.4692
59.7022,59.9924,0.2902,43,G2,97.999,59,0.4639
34.0158,34.5963,0.5805,64,E4,329.628,56,0.4408
23.2457,23.5824,0.3367,45,A2,110.000,57,0.4471
18.8429,19.3770,0.5341,45,A2,110.000,57,0.4479
37.2911,37.5233,0.2322,71,B4,493.883,55,0.4316
22.3865,22.7116,0.3251,48,C3,130.813,58,0.4564
73.4561,73.8754,0.4192,49,C#3,138.591,49,0.3829
30.0310,30.1471,0.1161,48,C3,130.813,55,0.4335
14.2893,14.4634,0.1741,57,A3,220.000,57,0.4461
26.8125,27.2073,0.3947,53,F3,174.614,54,0.4268
55.1472,55.3446,0.1974,71,B4,493.883,54,0.4220
48.8508,49.0017,0.1509,60,C4,261.626,53,0.4200
43.4018,43.5295,0.1277,52,E3,164.814,54,0.4237
51.5572,51.6501,0.0929,64,E4,329.628,54,0.4218
61.4901,62.0951,0.6050,53,F3,174.614,53,0.4139
38.4650,38.8830,0.4180,71,B4,493.883,45,0.3518
38.4999,38.8714,0.3715,43,G2,97.999,49,0.3879
7.9928,9.2118,1.2190,43,G2,97.999,48,0.3776
34.6428,34.9098,0.2670,60,C4,261.626,50,0.3948
34.5731,34.6892,0.1161,53,F3,174.614,52,0.4105
